nom;code_postal;longitude;latitude
l' abergement-clémenciat;1400;848174;6562933
l' abergement-de-varey;1640;887261;6547343
amareins;1090;839092;6554943
ambérieu-en-bugey;1500;882011;6541629
ambérieux-en-dombes;1330;847032;6546242
ambléon;1300;902099;6520038
ambronay;1500;881846;6547180
ambutrix;1500;880528;6539364
andert-et-condon;1300;905798;6525717
anglefort;1350;917744;6539464
apremont;1100;905040;6571248
aranc;1110;893450;6547536
arandas;1230;892251;6536388
arbent;1100;906242;6581289
arbignieu;1300;906058;6517948
arbigny;1190;851146;6598553
argis;1230;892147;6539717
armix;1510;900182;6531086
ars-sur-formans;1480;840893;6543876
artemare;1510;909413;6533617
asnières-sur-saône;1570;844480;6588393
attignat;1340;867067;6577863
bâgé-la-ville;1380;850023;6581862
bâgé-le-châtel;1380;848539;6579604
balan;1360;863008;6527763
baneins;1990;846711;6559565
beaupont;1270;874380;6591401
bellignat;1810;901811;6575584
béligneux;1360;864440;6532244
bellegarde-sur-valserine;1200;917805;6559468
belley;1300;908240;6522466
belleydoux;1130;913360;6575979
bénonces;1470;892495;6528618
bény;1370;875373;6583652
béon;1350;913444;6529312
béréziat;1340;857571;6587608
bettant;1500;883627;6539456
bey;1290;842591;6570575
beynost;1700;855247;6527561
billiat;1200;914834;6556029
birieux;1330;857233;6540942
biziat;1290;848756;6570723
blyes;1150;874585;6530303
bohas;1250;885140;6566166
la boisse;1120;857518;6529841
boissey;1190;853700;6588620
bolozon;1450;891205;6569686
bouligneux;1330;854713;6548654
bourg-en-bresse;1000;871165;6569090
bourg-st-christophe;1800;868287;6533460
bouvent;1100;902470;6578940
boyeux-st-jérôme;1640;891025;6550793
boz;1190;845963;6590650
brégnier-cordon;1300;904021;6508991
brénaz;1260;910658;6542549
brénod;1110;900929;6555555
bressolles;1360;862889;6532203
briord;1470;891893;6523044
buellas;1310;864227;6568899
la burbanche;1510;899406;6531061
ceignes;1430;893028;6560855
cerdon;1450;890851;6556343
certines;1240;875242;6561429
cesseins;1090;841436;6553886
cessy;1170;936155;6584601
ceyzériat;1250;878971;6565981
ceyzérieu;1350;911893;6529258
chalamont;1320;867921;6546781
chaleins;1480;839219;6549392
chaley;1230;895948;6542060
challes;1450;890677;6561892
challex;1630;929051;6568771
champagne-en-valromey;1260;907750;6536894
champdor;1110;901112;6550006
champfromier;1410;917408;6570566
chanay;1420;915107;6548260
chaneins;1990;842903;6557253
chanoz-châtenay;1400;856576;6566475
la chapelle-du-châtelard;1240;856890;6554264
charancin;1260;903764;6540094
charix;1130;906694;6567970
charnoz-sur-ain;1800;872195;6532458
château-gaillard;1500;878075;6543736
châtenay;1320;870149;6550175
châtillon-en-michaille;1200;914599;6562688
châtillon-la-palud;1320;874205;6543624
châtillon-sur-chalaronne;1400;852115;6559697
chavannes-sur-reyssouze;1190;853559;6594170
chavannes-sur-suran;1250;886342;6577313
chaveyriat;1660;859661;6566555
chavornay;1510;909375;6534727
chazey-bons;1300;908126;6525796
chazey-sur-ain;1150;874426;6535854
cheignieu-la-balme;1510;903358;6528969
chevillard;1430;899202;6561054
chevroux;1190;849858;6588523
chevry;1170;933250;6580043
chézery-forens;1200;921951;6572953
civrieux;1390;845696;6537324
cize;1250;887351;6569567
cleyzieu;1230;888376;6536267
coligny;1270;880590;6589360
collonges;1550;923859;6563021
colomieu;1300;903727;6517870
conand;1230;891546;6534143
condamine;1430;898431;6561029
condeissiat;1400;860461;6565466
confort;1200;917606;6565017
confrançon;1310;859399;6576547
contrevoz;1300;904245;6525665
conzieu;1300;902172;6517818
corbonod;1420;918399;6542821
corcelles;1110;899529;6551065
cordieux;1120;857318;6537612
corlier;1110;893344;6550866
cormaranche-en-bugey;1110;901368;6542236
cormoranche-sur-saône;1290;841024;6571649
cormoz;1560;871152;6596864
corveissiat;1250;891100;6573016
courmangoux;1370;882293;6583856
courtes;1560;861118;6598810
crans;1320;871883;6543558
cras-sur-reyssouze;1340;867006;6580084
craz-en-michaille;1200;914217;6551563
cressin-rochefort;1350;915230;6522707
crottet;1620;846284;6577328
cruzilles-lès-mépillat;1290;844903;6570630
cuisiat;1370;883163;6580549
culoz;1350;915694;6531613
curciat-dongalon;1560;864953;6598914
curtafond;1310;860168;6576567
dagneux;1120;860621;6529921
divonne-les-bains;1220;940548;6590331
dommartin;1380;853044;6584159
dompierre-sur-veyle;1240;870025;6554616
dompierre-sur-chalaronne;1400;846685;6560675
domsure;1270;876620;6593688
dortan;1590;905398;6583483
douvres;1500;883460;6545006
drom;1250;882660;6571646
druillat;1160;879297;6554881
echenevex;1170;933079;6584482
etrez;1340;867683;6583435
evosges;1230;893590;6543096
faramans;1800;864351;6535575
fareins;1480;836924;6548229
farges;1550;925237;6567517
feillens;1570;844612;6582842
ferney-voltaire;1210;940306;6576984
fitignieu;1260;906862;6540198
flaxieu;1350;911931;6528148
foissiat;1340;867560;6587876
amareins-francheleins-cesseins;1090;839118;6553833
frans;1480;837797;6543806
garnerans;1140;841101;6568319
genouilleux;1090;837447;6559349
géovreissiat;1460;898142;6569908
géovreisset;1100;900271;6575534
germagnat;1250;888479;6582934
gex;1170;936112;6585711
giron;1130;913438;6573759
gorrevod;1190;849749;6592964
le grand-abergement;1260;906487;6551296
grand-corent;1250;887351;6569567
granges;1580;892641;6573065
grièges;1290;842513;6573906
grilly;1220;939955;6585862
groissiat;1810;900381;6572204
groslée;1680;899876;6516632
guéreins;1090;837497;6557128
hautecourt-romanèche;1250;886717;6565103
hauteville-lompnes;1110;901294;6544456
hostias;1110;896126;6536511
hotonnes;1260;907373;6547993
illiat;1140;845009;6566189
injoux-génissiat;1200;914912;6553809
innimond;1680;899659;6523292
izenave;1430;895663;6550940
izernore;1580;896528;6572078
izieu;1300;904800;6509017
jassans-riottier;1480;835475;6543754
jasseron;1250;879578;6571554
jayat;1340;862950;6587750
journans;1250;879807;6563784
joyeux;1800;862653;6541084
jujurieux;1640;887159;6550673
labalme;1450;891554;6558587
lagnieu;1150;882177;6536079
laiz;1290;844824;6573960
lalleyriat;1130;909893;6564746
lancrans;1200;918457;6562825
lantenay;1430;895592;6553160
lapeyrouse;1330;852503;6544155
lavours;1350;915113;6526037
léaz;1200;922437;6559635
lélex;1410;927011;6582030
lent;1240;869871;6560166
lescheroux;1560;865164;6591143
leyment;1150;878237;6538185
leyssard;1450;890538;6566332
lhuis;1680;896660;6519862
lilignod;1260;907561;6542444
lochieu;1260;910734;6540330
lompnas;1680;895705;6525386
lompnieu;1260;905164;6544585
loyes;1800;872782;6539140
loyettes;1360;870953;6521313
lurcy;1090;836799;6553780
